Course,Course_code,Unit_code,Unit,Overview,Outcomes,Prohibition,Prerequisite,Corequisite
Master of Data Science,C6004,FIT5202,FIT5202 - Data processing for big data,"This unit focuses on big data processing, including volume, complexity, and velocity using the latest big data technologies. In big data volume, it covers large volume data processing using parallel technologies. In large dimensionality (or complexity), it covers various data analytics methods for parallel processing. For the velocity, it covers … For more content click the Read more button below.",identify and explain big data concepts and technologies;| write and interpret parallel database processing algorithms and methods;| apply common data analytics and machine learning algorithms in a big data environment;| use and evaluate streaming methods in big data processing;| use big data streaming technologies.,ITI5202,"FIT9131, FIT9133, FIT9136",
Master of Data Science,C6004,FIT5205,FIT5205 - Data in society,"In the digital age, how we communicate, conduct business and socialize is revolutionizing our world. The explosion of data-driven and artificial intelligence technologies are transforming the way we live and work, altering relationships between government and citizens, businesses and consumers, researchers and the researched, public and private sectors, and individuals, … For more content click the Read more button below.
While data driven and algorithmic technologies can potentially help grow the economy, improve health and education, support national security, protect the environment, enable more energy efficiency, drive innovation and progress, and support more resilient, sustainable communities and cultures, there is a growing need to identify and address the risks associated with their design, development and use. In this unit the problems associated with the application of these information technologies in government and big business that leads to greater surveillance of citizens by states and consumers by businesses, disempowerment of individuals and vulnerable communities, increased discrimination, threats to social inclusion, social justice, human and civil rights, self-determination and privacy, and widens the divide between the data haves and have-nots will be explored, alongside the emerging ethical, legislative and strategic frameworks that aim to address these concerns.","Describe and analyse digital media/data ecosystems;| Analyse issues relating to the benefits and risks of big data in society;| Explain key ethical design principles and their relevance to the design and development of data-driven and algorithmic technologies;| Investigate how rights in data, rights to self determination, privacy rights, access rights, discovery rights, IP and copyright apply in different contexts/scenarios;| Develop recommendations for socio-legal and policy frameworks and strategies for transparency, good governance, accountability and ethical practice in data management and use, including data rights management;| Analyse needs and issues relating to the use big data to support resilient, sustainable communities and cultures.",FIT5090,,
Master of Data Science,C6004,FIT5212,FIT5212 - Data analysis for semi-structured data,"Semi-structured data is one of the fastest growing kinds of data in both the public and private sector, for instance in health. Email collections with sender-recipient graphs, metadata and text content is one example. This unit will explore basic forms of semi-structured data: text, time-sequence data, graphs and multiple relations … For more content click the Read more button below.
 
 ","Appraise what kinds of semi-structured data exist and the problems they present for analysis;| Analyse different kinds of algorithms for different kinds of semi-structured data;| Develop and modify some standard algorithms for semi-structured data;| Examine some characteristic industry problems involving semi-structured data, and analyse the suitability of different algorithms.",,FIT5197,
Master of Data Science,C6004,FIT5230,FIT5230 - Malicious AI,"In this unit you will learn first-hand the required skills to eventually become a Chief AI / Data Officer. You will be exposed to the latest technologies deployed by attackers against AI and security, and mechanisms to counter these malicious activities. 
This unit will offer you the opportunity to be … For more content click the Read more button below.","identify and analyse malicious technologies deployed by attackers against AI and security such as adversarial machine learning, deepfakes, generative adversarial networks, anti-security;| devise counter-anti-AI security technologies to combat the anti-AI security techniques deployed by attackers;| design and formulate AI security or anti-AI security techniques in real-world situations;| critically assess the level of security offered by existing AI and security systems;| expose students to the ethical principles and consequences between the dark side and AI for social good.",,FIT9136,"FIT5197, FIT5047"
Master of Data Science,C6004,BMS5021,BMS5021 - Introduction to Bioinformatics,This unit will train students in the principles and practical approaches of computational biology algorithms for Bioinformatics analyses of data derived from genes and proteins. The unit will start by building solid foundational knowledge of the biology of the gene focusing on basic concepts of biological information stored in DNA … For more content click the Read more button below.,"Describe the relationships between DNA, RNA, and proteins and their roles in cell functioning.| Explain the health data life cycle and the relevance of computation in modern life sciences research.| Explain how nucleotide and protein sequence and structure data are represented and processed in computational biology.| Evaluate the merits and limitations of the major bioinformatics databases to solve specific computational biomedical problems.| Use bioinformatic tools and databases to analyse nucleotide or protein sequences.| Perform elementary statistical analysis on biomolecular and “omics” datasets and represent the outcomes in informative graphical displays and data summaries.",,,
Master of Data Science,C6004,BMS5022,"BMS5022 - Advanced bioinformatics: efficient genome, transcriptome and proteome analysis","This unit will combine theory with practise to introduce students to techniques for rapid genome, transcriptome and proteome analysis, viz., data derived from genes and proteins. It builds on Introduction of Bioinformatics (BMS5021) to cover the foundations and research frontiers of computational biology. The unit will focus on (i) aligning … For more content click the Read more button below.","Apply modern approaches to rapid analysis of the genome, transcriptome and proteome and data integration.| Explain the relevance of data integration and modelling in computational biology.| Evaluate, rate and justify current research directions in computational biology.| Analyse multiple data-types in computational biology and construct appropriate analytic solutions to large-scale datasets.| Formulate and construct a multi-disciplinary solution for microbiome and metagenomics datasets and design informative graphical displays and data summaries to represent the data analytic outcomes.| Assemble, appraise and judge the regulatory frame work for the acquisition and use of genomics data sets",,BMS5021,
Master of Data Science,C6004,FIT5126,FIT5126 - Masters thesis part 1,"This unit is a research unit common to FIT Masters degrees. Due to the nature of IT, a wide range of Masters project types can be offered to students. Some project components are of a practical nature and may involve software development and/or experimentation, while other components are of a … For more content click the Read more button below.","Design a rigorous Masters level research project and develop project proposal;| Critically review research literature, research design and reported findings;| Evaluate and select research methods and techniques of data collection and analysis appropriate to particular research designs, projects and disciplines;| Conduct ethical research;| Communicate research findings in written and oral form in research and industry settings.",ITI5126,FIT5125,
Master of Data Science,C6004,FIT5127,FIT5127 - Masters thesis part 2,"This unit is a research unit common to FIT Masters degrees. Due to the nature of IT, a wide range of Masters project types can be offered to students. Some project components are of a practical nature and may involve software development and/or experimentation, while other components are of a … For more content click the Read more button below.","Design a rigorous Masters level research project and develop project proposal;| Critically review research literature, research design and reported findings;| Evaluate and select research methods and techniques of data collection and analysis appropriate to particular research designs, projects and disciplines;| Conduct ethical research;| Communicate research findings in written and oral form in research and industry settings.",ITI5127,,FIT5126
Master of Data Science,C6004,FIT5228,FIT5228 - Masters thesis part 3,"This unit is a research unit common to FIT Masters degrees. Due to the nature of IT, a wide range of Masters project types can be offered to students. Some project components are of a practical nature and may involve software development and/or experimentation, while other components are of a … For more content click the Read more button below.","Design a rigorous Masters level research project and develop project proposal;| Critically review research literature, research design and reported findings;| Evaluate and select research methods and techniques of data collection and analysis appropriate to particular research designs, projects and disciplines;| Conduct ethical research;| Communicate research findings in written and oral form in research and industry settings.","ITI5228, FIT5128",FIT5127,FIT5229
Master of Data Science,C6004,FIT5229,FIT5229 - Masters thesis final,"This unit is a research unit common to FIT Masters degrees. Due to the nature of IT, a wide range of Masters project types can be offered to students. Some project components are of a practical nature and may involve software development and/or experimentation, while other components are of a … For more content click the Read more button below.","Design a rigorous Masters level research project and develop project proposal;| Critically review research literature, research design and reported findings;| Evaluate and select research methods and techniques of data collection and analysis appropriate to particular research designs, projects and disciplines;| Conduct ethical research;| Communicate research findings in written and oral form in research and industry settings.","ITI5229, FIT5128",,FIT5228
Master of Data Science,C6004,FIT5120,FIT5120 - Industry experience studio project,"This industry experience studio project capstone unit gives you the opportunity to work in teams to research contemporary approaches to developing a defined project, develop new skills and apply the knowledge and skills they have already gained in a practical setting.
Teams will research and create a meaningful and beneficial … For more content click the Read more button below.
Throughout this process you will need to communicate findings, knowledge and ideas effectively and professionally to a range of stakeholders, with a range of IT knowledge, in relevant and innovative ways. The stakeholders will include academics, peers, project-based stakeholders and senior industry experts. You will attend unit seminars, carry out research individually and contribute in a professional, committed and collegial manner to the work of your team and studio peers.","Critically analyse complex information relevant to an advanced specialist domain and identify information requirements interpreting how they may be of benefit to an organisation or a community;| Analyse how specialist domain projects are developed and evaluate the underlying principles and reasons underpinning each aspect of the development process, proposing the need for and then using, a context driven methodological approach to deliver;| Differentiate and synthesise the interrelated roles and responsibilities of all stakeholders of a project and assess and analyse why these roles are important for a successful project;| Apply, in an industry standard setting, new concepts as well as aspects of theoretical approaches already learned, selecting the most appropriate fit for a specific situation and the rationale for that selection applying investigative research;| Demonstrate discernment and judgment in effective two-way communication to all stakeholders/audiences, both specialist and generalist, by using innovative, relevant and meaningful mechanisms to disseminate knowledge and ideas;| Contrast and apply the most suitable professional practice skills on issues relevant to the chosen area of practice and operate effectively as a member of that practice team;| Evaluate, assess and communicate both personal and team progress and learning, thus engaging in meaningful reflective practice of one's self and the outcomes and process of the projects.",,,
Master of Data Science,C6004,FIT5122,FIT5122 - Professional practice,"The Professional Practice unit enables students to build and improve on the professional skills needed to succeed as an IT Professional. Students will explore a range of theoretical and practical skills including complex communication and conflict resolution skills; high performing team attributes in a positive environment; cross cultural skills; skills … For more content click the Read more button below.
Study in FIT5122 supports study in FIT5120, therefore students should enrol in FIT5122 in conjunction with FIT5120 where possible.","Research, critically evaluate and apply appropriate strategies and innovative methods for effective and efficient communications across all stakeholders, evaluating their appropriateness for intercultural communications.| Assess and apply various team work and conflict resolution strategies and justify how these skills could be applied in the context of a high performing cross-cultural team.| Identify and analyse the consequences associated with IT related decisions and use and their possible impacts on organisations and society. Justify and demonstrate why an understanding of ethics is important for IT professionals and reflect on the need for codes of conduct (including the ACS) within the profession| Apply appropriate information gathering and problem-solving skills as well as demonstrate the ability to critically evaluate information and its sources| Evaluate and communicate both personal and team progress and learning in order to engage in meaningful reflective practice","MGF5991, ITI5122",,FIT5120
